Phenotype Name,Phenotype ID,"% of genes with the term in ""QueryGeneSet""","% of genes with the term in ""Background""",Fisher's Exact Test P-value,BH FDR corrected P-value,Bonferroni corrected P-value
sex comb,FBbt:00004296,0.0% (0/93),0.13% (15/11801),1,1,1
mesothoracic tarsal bristle longitudinal row,FBbt:00004394,1.08% (1/93),0.07% (8/11801),0.068232578,1,1
mesothoracic tarsal bristle,FBbt:00004393,1.08% (1/93),0.08% (9/11801),0.075523649,1,1
prothoracic tarsal bristle,FBbt:00004283,0.0% (0/93),0.03% (3/11801),1,1,1
metathoracic tarsal bristle,FBbt:01004450,0.0% (0/93),0.02% (2/11801),1,1,1
sensillum campaniformium of proximal dorsal radius,FBbt:00004343,0.0% (0/93),0.03% (3/11801),1,1,1
ventral triple row bristle,FBbt:00100106,1.08% (1/93),0.1% (12/11801),0.097059922,1,1
prescutum,FBbt:00004582,0.0% (0/93),0.19% (23/11801),1,1,1
notal wing process,FBbt:00004584,0.0% (0/93),0.01% (1/11801),1,1,1
mesothoracic epimeron,FBbt:00004592,0.0% (0/93),0.01% (1/11801),1,1,1
mesothoracic episternum,FBbt:00004596,0.0% (0/93),0.27% (32/11801),1,1,1
lateral oblique dorsal muscle,FBbt:00003369,0.0% (0/93),0.01% (1/11801),1,1,1
dorsal medial muscle,FBbt:00003362,1.08% (1/93),0.01% (1/11801),0.015577651,1,1
tergosternal muscle,FBbt:00003372,0.0% (0/93),0.01% (1/11801),1,1,1
coxal tergal remotor muscle,FBbt:00003376,0.0% (0/93),0.01% (1/11801),1,1,1
basalar muscle,FBbt:00003384,0.0% (0/93),0.03% (3/11801),1,1,1
axillary muscle,FBbt:00003387,0.0% (0/93),0.03% (3/11801),1,1,1
ventral triple row,FBbt:00004334,1.08% (1/93),0.1% (12/11801),0.097059922,1,1
axillary sclerite,FBbt:00004737,1.08% (1/93),0.01% (1/11801),0.015577651,1,1
medial triple row,FBbt:00004331,0.0% (0/93),0.02% (2/11801),1,1,1
wing basal cell,FBbt:00004780,0.0% (0/93),0.1% (12/11801),1,1,1
wing vein L1,FBbt:00004759,0.0% (0/93),0.07% (8/11801),1,1,1
wing vein L3,FBbt:00004761,0.0% (0/93),0.03% (3/11801),1,1,1
costal vein,FBbt:00004755,0.0% (0/93),0.03% (4/11801),1,1,1
posterior wing margin,FBbt:00027001,0.0% (0/93),0.14% (16/11801),1,1,1
humeral bristle,FBbt:00004249,0.0% (0/93),0.04% (5/11801),1,1,1
scutellar bristle,FBbt:00004312,0.0% (0/93),0.47% (56/11801),1,1,1
notopleural bristle,FBbt:00004300,0.0% (0/93),0.09% (11/11801),1,1,1
supraalar bristle,FBbt:00004303,0.0% (0/93),0.15% (18/11801),1,1,1
postalar bristle,FBbt:00004309,0.0% (0/93),0.19% (22/11801),1,1,1
dorsocentral bristle,FBbt:00004306,1.08% (1/93),0.19% (22/11801),0.165325283,1,1
mesothoracic preepisternum,FBbt:00004598,0.0% (0/93),0.26% (31/11801),1,1,1
anterior crossvein,FBbt:00004767,0.0% (0/93),0.09% (11/11801),1,1,1
sensillum campaniformium of dorsal radius,FBbt:00004352,0.0% (0/93),0.07% (8/11801),1,1,1
sensillum campaniformium of proximal ventral radius,FBbt:00004348,0.0% (0/93),0.01% (1/11801),1,1,1
sternopleural bristle,FBbt:00004315,0.0% (0/93),0.04% (5/11801),1,1,1
abdominal 8 dorsal oblique muscle,FBbt:00000954,0.0% (0/93),0.02% (2/11801),1,1,1
ocellus sensory structure,FBbt:00004238,0.0% (0/93),0.13% (15/11801),1,1,1
short labellar taste bristle,FBbt:00007413,0.0% (0/93),0.05% (6/11801),1,1,1
intermediate labellar taste bristle,FBbt:00007412,0.0% (0/93),0.02% (2/11801),1,1,1
large labellar taste bristle,FBbt:00007411,0.0% (0/93),0.04% (5/11801),1,1,1
uniglomerular projection neuron vPN,FBbt:00007387,0.0% (0/93),0.03% (4/11801),1,1,1
adult uniglomerular antennal lobe projection neuron,FBbt:00007440,1.08% (1/93),0.3% (35/11801),0.246488481,1,1
adult antennal lobe projection neuron lPN,FBbt:00007439,0.0% (0/93),0.08% (10/11801),1,1,1
adult antennal lobe projection neuron vPN,FBbt:00007437,0.0% (0/93),0.03% (4/11801),1,1,1
adult multiglomerular antennal lobe projection neuron,FBbt:00007441,0.0% (0/93),0.01% (1/11801),1,1,1
persistent antennal lobe projection neuron,FBbt:00007456,0.0% (0/93),0.23% (27/11801),1,1,1
antennal lobe projection neuron iPN,FBbt:00067350,1.08% (1/93),0.27% (32/11801),0.228480864,1,1
adult antennal lobe projection neuron adPN,FBbt:00007438,1.08% (1/93),0.25% (29/11801),0.210047632,1,1
rhabdomere of eye photoreceptor cell,FBbt:00007455,0.0% (0/93),0.25% (30/11801),1,1,1
eye photoreceptor cell stalk,FBbt:00005883,0.0% (0/93),0.03% (4/11801),1,1,1
dorsal margin photoreceptor,FBbt:00004207,0.0% (0/93),0.01% (1/11801),1,1,1
abdominal ventral multidendritic neuron vtd1,FBbt:00002573,0.0% (0/93),0.01% (1/11801),1,1,1
abdominal ventral multidendritic neuron vtd2,FBbt:00002581,0.0% (0/93),0.01% (1/11801),1,1,1
abdominal dorsal bipolar neuron dbp,FBbt:00002442,0.0% (0/93),0.01% (1/11801),1,1,1
abdominal dorsal multidendritic neuron ddaC,FBbt:00002402,0.0% (0/93),0.01% (1/11801),1,1,1
vch1 neuron,FBbt:00002040,0.0% (0/93),0.02% (2/11801),1,1,1
abdominal vch neuron,FBbt:00002452,0.0% (0/93),0.02% (2/11801),1,1,1
antennal olfactory receptor neuron,FBbt:00007352,1.08% (1/93),0.36% (43/11801),0.292501261,1,1
adult uniglomerular antennal lobe projection neuron vPN,FBbt:00007445,0.0% (0/93),0.03% (4/11801),1,1,1
adult uniglomerular antennal lobe projection neuron adPN,FBbt:00100368,1.08% (1/93),0.25% (29/11801),0.210047632,1,1
A-subperineurial glial cell of abdomen,FBbt:00001267,0.0% (0/93),0.01% (1/11801),1,1,1
abdominal anterior commissure,FBbt:00001110,0.0% (0/93),0.01% (1/11801),1,1,1
abdominal posterior commissure,FBbt:00001125,0.0% (0/93),0.01% (1/11801),1,1,1
mushroom body vertical lobe,FBbt:00005407,1.08% (1/93),0.43% (51/11801),0.335732672,1,1
mushroom body medial lobe,FBbt:00005408,1.08% (1/93),0.61% (72/11801),0.437173358,1,1
narrow field columnar neuron,FBbt:00110136,1.08% (1/93),0.08% (9/11801),0.075523649,1,1
ventral nerve cord commissure,FBbt:00001104,0.0% (0/93),0.01% (1/11801),1,1,1
lateral longitudinal fascicle,FBbt:00015899,0.0% (0/93),0.01% (1/11801),1,1,1
embryonic/larval supraesophageal connective,FBbt:00001921,0.0% (0/93),0.01% (1/11801),1,1,1
longitudinal connective,FBbt:00001103,0.0% (0/93),0.25% (29/11801),1,1,1
adult antennal lobe tract,FBbt:00100099,0.0% (0/93),0.01% (1/11801),1,1,1
adult apodeme,FBbt:00003516,0.0% (0/93),0.04% (5/11801),1,1,1
abdominal apodeme,FBbt:00007585,0.0% (0/93),0.03% (3/11801),1,1,1
mesothoracic femur,FBbt:00004689,0.0% (0/93),0.03% (3/11801),1,1,1
prothoracic femur,FBbt:00004667,0.0% (0/93),0.03% (3/11801),1,1,1
metathoracic femur,FBbt:00004711,0.0% (0/93),0.03% (3/11801),1,1,1
tarsal segment 5,FBbt:00007595,1.08% (1/93),0.03% (3/11801),0.030915209,1,1
tarsal segment 4,FBbt:00004651,1.08% (1/93),0.03% (4/11801),0.038495098,1,1
tarsal segment 3,FBbt:00004650,1.08% (1/93),0.02% (2/11801),0.023276212,1,1
mesothoracic tarsal segment,FBbt:00004690,1.08% (1/93),0.16% (19/11801),0.145400192,1,1
metathoracic tarsal segment,FBbt:00004712,1.08% (1/93),0.14% (16/11801),0.125004691,1,1
tarsal segment 2,FBbt:00004649,1.08% (1/93),0.07% (8/11801),0.068232578,1,1
mesothoracic coxa,FBbt:00004686,0.0% (0/93),0.01% (1/11801),1,1,1
metathoracic coxa,FBbt:00004708,0.0% (0/93),0.02% (2/11801),1,1,1
prothoracic coxa,FBbt:00004664,0.0% (0/93),0.01% (1/11801),1,1,1
unguis,FBbt:00004660,0.0% (0/93),0.02% (2/11801),1,1,1
mesothoracic pretarsus,FBbt:00004697,0.0% (0/93),0.01% (1/11801),1,1,1
metathoracic pretarsus,FBbt:00004719,0.0% (0/93),0.01% (1/11801),1,1,1
prothoracic pretarsus,FBbt:00004675,0.0% (0/93),0.02% (2/11801),1,1,1
metathoracic tibia,FBbt:00004709,0.0% (0/93),0.06% (7/11801),1,1,1
prothoracic tibia,FBbt:00004665,1.08% (1/93),0.1% (12/11801),0.097059922,1,1
mesothoracic tibia,FBbt:00004687,0.0% (0/93),0.15% (18/11801),1,1,1
male terminalia sensillum,FBbt:00004469,0.0% (0/93),0.03% (4/11801),1,1,1
hypandrium,FBbt:00004847,0.0% (0/93),0.04% (5/11801),1,1,1
male genitalia,FBbt:00004828,0.0% (0/93),0.19% (22/11801),1,1,1
female gonopod,FBbt:00004832,0.0% (0/93),0.08% (9/11801),1,1,1
female genitalia,FBbt:00004827,0.0% (0/93),0.06% (7/11801),1,1,1
female terminalia sensillum,FBbt:00004465,0.0% (0/93),0.08% (9/11801),1,1,1
ocellar triangle,FBbt:00004495,1.08% (1/93),0.6% (71/11801),0.432710669,1,1
labellum,FBbt:00004531,0.0% (0/93),0.31% (37/11801),1,1,1
maxillary palpus,FBbt:00004546,0.0% (0/93),0.07% (8/11801),1,1,1
ocellus retinula cell,FBbt:00004242,0.0% (0/93),0.13% (15/11801),1,1,1
ocellus lens,FBbt:00004241,0.0% (0/93),0.01% (1/11801),1,1,1
axial complex,FBbt:00004949,0.0% (0/93),0.29% (34/11801),1,1,1
meiotic primary spermatocyte,FBbt:00057145,0.0% (0/93),0.02% (2/11801),1,1,1
anterior commissure,FBbt:00001105,0.0% (0/93),0.01% (1/11801),1,1,1
posterior commissure,FBbt:00001120,0.0% (0/93),0.01% (1/11801),1,1,1
embryonic/larval cervical connective,FBbt:00001922,0.0% (0/93),0.03% (3/11801),1,1,1
fertile,FBcv:0000374,3.23% (3/93),4.12% (486/11801),1,1,1
prepupa,FBbt:00002952,1.08% (1/93),0.58% (69/11801),0.423680015,1,1
male organism,FBbt:00007004,5.38% (5/93),5.66% (668/11801),1,1,1
female fertile,FBcv:0000377,0.0% (0/93),0.77% (91/11801),1,1,1
male fertile,FBcv:0000376,0.0% (0/93),0.36% (42/11801),1,1,1
semi-fertile,FBcv:0000375,0.0% (0/93),1.08% (127/11801),0.628676683,1,1
sterile,FBcv:0000364,7.53% (7/93),7.92% (935/11801),1,1,1
cell adhesion defective,FBcv:0000668,0.0% (0/93),0.02% (2/11801),1,1,1
cell growth defective,FBcv:0000427,1.08% (1/93),0.35% (41/11801),0.281265545,1,1
eclosion defective,FBcv:0000670,1.08% (1/93),0.24% (28/11801),0.203806928,1,1
paralytic,FBcv:0000389,1.08% (1/93),0.42% (49/11801),0.325176299,1,1
axis specification defective,FBcv:0000686,0.0% (0/93),0.07% (8/11801),1,1,1
developmental rate defective,FBcv:0000450,0.0% (0/93),0.27% (32/11801),1,1,1
temperature response defective,FBcv:0000683,1.08% (1/93),1.12% (132/11801),1,1,1
aging defective,FBcv:0000384,0.0% (0/93),0.15% (18/11801),1,1,1
jumping defective,FBcv:0000415,0.0% (0/93),0.08% (10/11801),1,1,1
pre-blastoderm embryo,FBbt:00005290,0.0% (0/93),0.08% (9/11801),1,1,1
embryonic telson,FBbt:00000184,0.0% (0/93),0.1% (12/11801),1,1,1
parasegment,FBbt:00000138,0.0% (0/93),0.09% (11/11801),1,1,1
embryonic/larval tracheocyte,FBbt:00005039,0.0% (0/93),0.08% (9/11801),1,1,1
blastoderm embryo,FBbt:00005304,1.08% (1/93),0.82% (97/11801),0.538118439,1,1
cleavage stage embryo,FBbt:00000054,0.0% (0/93),0.09% (11/11801),1,1,1
embryonic thorax,FBbt:00000166,1.08% (1/93),0.31% (36/11801),0.252398126,1,1
embryonic neuroblast,FBbt:00001332,0.0% (0/93),0.03% (3/11801),1,1,1
pole plasm,FBbt:00004891,0.0% (0/93),0.06% (7/11801),1,1,1
prepupal integumentary system,FBbt:00005394,1.08% (1/93),0.58% (69/11801),0.423680015,1,1
pupal tagma,FBbt:00005389,1.08% (1/93),0.07% (8/11801),0.068232578,1,1
embryonic/larval sense organ,FBbt:00002639,1.08% (1/93),0.77% (91/11801),0.515660559,1,1
embryonic/larval neuroblast,FBbt:00007115,0.0% (0/93),0.1% (12/11801),1,1,1
embryonic/larval excretory system,FBbt:00005718,0.0% (0/93),0.11% (13/11801),1,1,1
embryonic/larval sensillum,FBbt:00007240,1.08% (1/93),0.5% (59/11801),0.376349124,1,1
larval pacemaker neuron,FBbt:00100164,0.0% (0/93),0.04% (5/11801),1,1,1
pupal integumentary system,FBbt:00005395,0.0% (0/93),0.03% (3/11801),1,1,1
pupal nervous system,FBbt:00110192,0.0% (0/93),0.03% (4/11801),1,1,1
pupal tracheal system,FBbt:00002954,0.0% (0/93),0.26% (31/11801),1,1,1
adult SMPad1 (male) lineage clone,FBbt:00050244,0.0% (0/93),0.01% (1/11801),1,1,1
adult fruitless vAB3 (male) lineage clone,FBbt:00110851,0.0% (0/93),0.01% (1/11801),1,1,1
adult fruitless aSP4 (male) lineage clone,FBbt:00110554,0.0% (0/93),0.01% (1/11801),1,1,1
adult fruitless pIP10 lineage clone,FBbt:00110853,0.0% (0/93),0.01% (1/11801),1,1,1
adult CREa1 (male) lineage clone,FBbt:00050247,0.0% (0/93),0.01% (1/11801),1,1,1
adult SMPad1 (male) lineage neuron,FBbt:00050245,0.0% (0/93),0.01% (1/11801),1,1,1
adult fruitless vPR6 (male) lineage clone,FBbt:00110859,0.0% (0/93),0.01% (1/11801),1,1,1
adult fruitless aSP-b (male) lineage clone,FBbt:00110596,0.0% (0/93),0.01% (1/11801),1,1,1
adult fruitless dPR1 lineage clone,FBbt:00110855,0.0% (0/93),0.01% (1/11801),1,1,1
adult CREa1 (male) lineage neuron,FBbt:00050248,0.0% (0/93),0.01% (1/11801),1,1,1
adult fruitless vPR1 lineage clone,FBbt:00110857,0.0% (0/93),0.01% (1/11801),1,1,1
adult fruitless aSP-k (male) lineage clone,FBbt:00110606,0.0% (0/93),0.01% (1/11801),1,1,1
adult visceral muscle,FBbt:00003525,1.08% (1/93),0.31% (37/11801),0.258261918,1,1
adult olfactory receptor neuron,FBbt:00007386,1.08% (1/93),0.45% (53/11801),0.346125658,1,1
adult endocrine system,FBbt:00003214,0.0% (0/93),0.35% (41/11801),1,1,1
adult tracheal system,FBbt:00003037,0.0% (0/93),0.16% (19/11801),1,1,1
adult Pdf neuron,FBbt:00100171,0.0% (0/93),0.2% (24/11801),1,1,1
adult excretory system,FBbt:00005724,0.0% (0/93),0.24% (28/11801),1,1,1
adult pacemaker neuron,FBbt:00100163,0.0% (0/93),0.43% (51/11801),1,1,1
adult CREa1 (female) lineage neuron,FBbt:00050150,0.0% (0/93),0.02% (2/11801),1,1,1
adult SMPad1 (female) lineage clone,FBbt:00050042,0.0% (0/93),0.01% (1/11801),1,1,1
female terminalia,FBbt:00004830,0.0% (0/93),0.27% (32/11801),1,1,1
adult fruitless vAB3 (female) lineage clone,FBbt:00110849,0.0% (0/93),0.01% (1/11801),1,1,1
adult SMPad1 (female) lineage neuron,FBbt:00050043,0.0% (0/93),0.01% (1/11801),1,1,1
adult fruitless pMP-e (female) lineage clone,FBbt:00110506,0.0% (0/93),0.03% (3/11801),1,1,1
adult CREa1 (female) lineage clone,FBbt:00050149,0.0% (0/93),0.02% (2/11801),1,1,1
adult fruitless aSP-b (female) lineage clone,FBbt:00110450,0.0% (0/93),0.01% (1/11801),1,1,1
female sterile,FBcv:0000366,1.08% (1/93),0.2% (24/11801),0.178352648,1,1
male sterile,FBcv:0000370,0.0% (0/93),0.01% (1/11801),1,1,1
decreased cell number,FBcv:0000359,1.08% (1/93),0.15% (18/11801),0.138654497,1,1
pair rule phenotype,FBcv:0000699,0.0% (0/93),0.01% (1/11801),1,1,1
feeding behavior defective,FBcv:0000419,0.0% (0/93),0.09% (11/11801),1,1,1
visual behavior defective,FBcv:0000411,1.08% (1/93),0.19% (23/11801),0.171864306,1,1
chemosensitive behavior defective,FBcv:0000403,1.08% (1/93),0.23% (27/11801),0.197517456,1,1
memory defective,FBcv:0000398,1.08% (1/93),0.19% (22/11801),0.165325283,1,1
endoderm,FBbt:00000125,0.0% (0/93),0.03% (3/11801),1,1,1
embryonic thoracic segment,FBbt:00000167,1.08% (1/93),0.2% (24/11801),0.178352648,1,1
embryonic head segment,FBbt:00000157,1.08% (1/93),0.46% (54/11801),0.351261665,1,1
embryonic gnathal segment,FBbt:00000162,0.0% (0/93),0.18% (21/11801),1,1,1
cephalopharyngeal skeleton,FBbt:00001845,1.08% (1/93),0.58% (69/11801),0.423680015,1,1
embryonic intercalary segment,FBbt:00000161,0.0% (0/93),0.12% (14/11801),1,1,1
embryonic labral segment,FBbt:00000159,0.0% (0/93),0.05% (6/11801),1,1,1
embryonic procephalic segment,FBbt:00000158,0.0% (0/93),0.28% (33/11801),1,1,1
embryonic antennal segment,FBbt:00000160,0.0% (0/93),0.11% (13/11801),1,1,1
stage 13 embryo,FBbt:00005328,0.0% (0/93),0.02% (2/11801),1,1,1
stage 14 embryo,FBbt:00005330,0.0% (0/93),0.02% (2/11801),1,1,1
ring gland primordium,FBbt:00017009,0.0% (0/93),0.11% (13/11801),1,1,1
central brain primordium,FBbt:00005542,0.0% (0/93),0.04% (5/11801),1,1,1
midline neuronal primordium,FBbt:00016015,0.0% (0/93),0.01% (1/11801),1,1,1
dorsal vessel primordium,FBbt:00001665,1.08% (1/93),0.42% (50/11801),0.330475067,1,1
longitudinal visceral muscle primordium,FBbt:00017008,0.0% (0/93),0.05% (6/11801),1,1,1
primary segmental branch primordium,FBbt:00017011,1.08% (1/93),0.36% (43/11801),0.292501261,1,1
secondary branch/tracheole primordium,FBbt:00017025,1.08% (1/93),0.53% (62/11801),0.390938379,1,1
dorsal head epidermis primordium,FBbt:00015247,0.0% (0/93),0.01% (1/11801),1,1,1
imaginal disc primordium,FBbt:00001649,0.0% (0/93),0.16% (19/11801),1,1,1
crystal cell primordium,FBbt:00017007,0.0% (0/93),0.03% (3/11801),1,1,1
stomodeum,FBbt:00000439,0.0% (0/93),0.05% (6/11801),1,1,1
embryonic hemocyte primordium,FBbt:00005247,0.0% (0/93),0.09% (11/11801),1,1,1
parasegment 5,FBbt:00000143,0.0% (0/93),0.01% (1/11801),1,1,1
parasegment 4,FBbt:00000142,0.0% (0/93),0.01% (1/11801),1,1,1
parasegment 13,FBbt:00000151,0.0% (0/93),0.03% (3/11801),1,1,1
parasegment 3,FBbt:00000141,0.0% (0/93),0.01% (1/11801),1,1,1
yolk sac,FBbt:00005376,0.0% (0/93),0.02% (2/11801),1,1,1
syncytial blastoderm embryo,FBbt:00005305,0.0% (0/93),0.03% (4/11801),1,1,1
stage 5 embryo,FBbt:00005311,1.08% (1/93),0.79% (93/11801),0.523264014,1,1
stomodeal invagination,FBbt:00005326,0.0% (0/93),0.06% (7/11801),1,1,1
embryonic metathoracic segment,FBbt:00000170,0.0% (0/93),0.03% (3/11801),1,1,1
embryonic mesothoracic segment,FBbt:00000169,0.0% (0/93),0.04% (5/11801),1,1,1
embryonic nervous system of thorax,FBbt:00005387,0.0% (0/93),0.05% (6/11801),1,1,1
embryonic abdominal segment 1,FBbt:00000173,0.0% (0/93),0.03% (3/11801),1,1,1
embryonic abdominal segment 7,FBbt:00000179,0.0% (0/93),0.01% (1/11801),1,1,1
embryonic abdominal segment 6,FBbt:00000178,0.0% (0/93),0.01% (1/11801),1,1,1
embryonic nervous system of abdomen,FBbt:00005388,0.0% (0/93),0.12% (14/11801),1,1,1
embryonic abdominal segment 9,FBbt:00000181,0.0% (0/93),0.01% (1/11801),1,1,1
embryonic abdominal segment 2,FBbt:00000174,0.0% (0/93),0.02% (2/11801),1,1,1
embryonic cardioblast,FBbt:00007321,0.0% (0/93),0.19% (23/11801),1,1,1
embryonic glioblast,FBbt:00001244,0.0% (0/93),0.01% (1/11801),1,1,1
imaginal tracheal precursor,FBbt:00005605,0.0% (0/93),0.05% (6/11801),1,1,1
embryonic imaginal precursor,FBbt:00001648,0.0% (0/93),0.22% (26/11801),1,1,1
lateral trunk primordium,FBbt:00005578,0.0% (0/93),0.09% (11/11801),1,1,1
spiracle primordium,FBbt:10005248,1.08% (1/93),0.13% (15/11801),0.118099764,1,1
embryonic myoblast,FBbt:00000463,1.08% (1/93),0.31% (37/11801),0.258261918,1,1
Bolwig organ,FBbt:00005805,0.0% (0/93),0.02% (2/11801),1,1,1
neuroblast of ventral nerve cord primordium,FBbt:00001369,1.08% (1/93),0.5% (59/11801),0.376349124,1,1
ventral midline neuroblast,FBbt:00005565,0.0% (0/93),0.01% (1/11801),1,1,1
presumptive embryonic/larval peripheral nervous system,FBbt:00001134,0.0% (0/93),0.11% (13/11801),1,1,1
presumptive embryonic/larval central nervous system,FBbt:00001056,1.08% (1/93),0.52% (61/11801),0.386113204,1,1
imaginal ring,FBbt:00001834,0.0% (0/93),0.09% (11/11801),1,1,1
pupal cuticle,FBbt:00004991,1.08% (1/93),0.42% (49/11801),0.325176299,1,1
gnathal segment,FBbt:00000011,1.08% (1/93),1.07% (126/11801),1,1,1
thoracic neuroblast,FBbt:00003561,1.08% (1/93),0.13% (15/11801),0.118099764,1,1
thoracic adult muscle precursor cell,FBbt:00003233,0.0% (0/93),0.01% (1/11801),1,1,1
abdominal ventral adult muscle precursor cell,FBbt:00003251,0.0% (0/93),0.02% (2/11801),1,1,1
abdominal segment 9,FBbt:00000030,0.0% (0/93),0.35% (41/11801),1,1,1
abdominal adult muscle precursor cell,FBbt:00003234,0.0% (0/93),0.19% (23/11801),1,1,1
abdominal neuroblast,FBbt:00003584,0.0% (0/93),0.11% (13/11801),1,1,1
abdominal sensory neuron,FBbt:00100296,1.08% (1/93),0.95% (112/11801),0.589855873,1,1
abdominal segment 10,FBbt:00000031,1.08% (1/93),0.28% (33/11801),0.234530209,1,1
abdominal segment 11,FBbt:00000032,0.0% (0/93),0.12% (14/11801),1,1,1
abdominal dorsal adult muscle precursor cell,FBbt:00003235,0.0% (0/93),0.01% (1/11801),1,1,1
abdominal nerve,FBbt:00002179,0.0% (0/93),0.75% (89/11801),1,1,1
telson,FBbt:00000033,1.08% (1/93),0.53% (62/11801),0.390938379,1,1
abdominal lateral adult muscle precursor cell,FBbt:00003243,0.0% (0/93),0.03% (3/11801),1,1,1
larval labral segment,FBbt:00001734,0.0% (0/93),0.04% (5/11801),1,1,1
larval maxillary segment,FBbt:00001739,0.0% (0/93),0.11% (13/11801),1,1,1
larval procephalic segment,FBbt:00001733,1.08% (1/93),0.69% (82/11801),0.47993344,1,1
embryonic/larval brain,FBbt:00001920,1.08% (1/93),1.17% (138/11801),1,1,1
larval antennal segment,FBbt:00001735,1.08% (1/93),0.31% (36/11801),0.252398126,1,1
larval labial segment,FBbt:00001740,0.0% (0/93),0.08% (9/11801),1,1,1
larval gnathal segment,FBbt:00001737,0.0% (0/93),0.18% (21/11801),1,1,1
larval mandibular segment,FBbt:00001738,0.0% (0/93),0.01% (1/11801),1,1,1
larval head segment,FBbt:00001732,1.08% (1/93),0.79% (93/11801),0.523264014,1,1
embryonic/larval head sense organ,FBbt:00007280,0.0% (0/93),0.38% (45/11801),1,1,1
embryonic/larval head nerve,FBbt:00007318,0.0% (0/93),0.14% (17/11801),1,1,1
larval intercalary segment,FBbt:00001736,0.0% (0/93),0.05% (6/11801),1,1,1
antenno-maxillary complex,FBbt:00002640,0.0% (0/93),0.09% (11/11801),1,1,1
embryonic/larval head sensillum,FBbt:00007242,0.0% (0/93),0.3% (35/11801),1,1,1
larval ocular segment,FBbt:00001731,0.0% (0/93),0.36% (43/11801),1,1,1
embryonic/larval epidermis,FBbt:00005398,1.08% (1/93),0.14% (17/11801),0.131856132,1,1
embryonic/larval T2/3 dorsal sensory cluster,FBbt:00007398,0.0% (0/93),0.04% (5/11801),1,1,1
embryonic/larval T2/3 ventral sensory cluster,FBbt:00007400,1.08% (1/93),0.17% (20/11801),0.152093622,1,1
abdominal ventral monoscolopidial chordotonal organ vch1,FBbt:00002904,0.0% (0/93),0.03% (4/11801),1,1,1
abdominal lateral pentascolopidial chordotonal organ lch5,FBbt:00002831,0.0% (0/93),0.15% (18/11801),1,1,1
abdominal lateral monoscolopidial chordotonal organ lch1,FBbt:00002823,0.0% (0/93),0.03% (3/11801),1,1,1
3-3I,FBbt:00001483,0.0% (0/93),0.26% (31/11801),1,1,1
SN motor neuron of A1-7,FBbt:00110214,0.0% (0/93),0.03% (3/11801),1,1,1
1-1M,FBbt:00011534,0.0% (0/93),0.45% (53/11801),1,1,1
5-6I of thorax,FBbt:00110866,1.08% (1/93),0.52% (61/11801),0.386113204,1,1
larval LN period neuron,FBbt:00001913,0.0% (0/93),0.01% (1/11801),1,1,1
6-4I,FBbt:00001517,1.08% (1/93),0.0% (0/11801),0.007819068,1,1
embryonic/larval corpus cardiacum innervating neuron,FBbt:00007460,0.0% (0/93),0.05% (6/11801),1,1,1
RP1 motor neuron,FBbt:00001452,0.0% (0/93),0.02% (2/11801),1,1,1
3-1M,FBbt:00007678,0.0% (0/93),0.22% (26/11801),1,1,1
3-5I,FBbt:00001486,0.0% (0/93),0.01% (1/11801),1,1,1
embryonic/larval glial cell,FBbt:00001251,0.0% (0/93),0.88% (104/11801),1,1,1
dMP2 neuron,FBbt:00001602,0.0% (0/93),0.02% (2/11801),1,1,1
U neuron,FBbt:00001564,1.08% (1/93),0.05% (6/11801),0.053479361,1,1
VUM neuron,FBbt:00001592,0.0% (0/93),0.08% (10/11801),1,1,1
larval neuromere,FBbt:00001912,1.08% (1/93),1.21% (143/11801),1,1,1
EW neuron,FBbt:00001582,1.08% (1/93),0.06% (7/11801),0.060884629,1,1
LL1 motor neuron,FBbt:00110234,0.0% (0/93),0.01% (1/11801),1,1,1
abdominal intersegmental nerve neuron,FBbt:00002320,0.0% (0/93),0.64% (76/11801),1,1,1
nervous system of embryonic/larval abdomen,FBbt:00007486,0.0% (0/93),0.04% (5/11801),1,1,1
5-6I,FBbt:00001503,1.08% (1/93),0.52% (61/11801),0.386113204,1,1
ISN motor neuron of A1-7,FBbt:00110216,0.0% (0/93),0.07% (8/11801),1,1,1
embryonic/larval motor neuron,FBbt:00007675,5.38% (5/93),1.06% (125/11801),0.003483104,1,1
1-1I,FBbt:00001458,1.08% (1/93),0.32% (38/11801),0.264080207,1,1
abdominal ventro-medial neuroblast,FBbt:00003610,0.0% (0/93),0.01% (1/11801),1,1,1
abdominal dorso-lateral neuroblast,FBbt:00003598,0.0% (0/93),0.01% (1/11801),1,1,1
embryonic/larval somatic muscle,FBbt:00000464,4.3% (4/93),1.87% (221/11801),0.099625017,1,1
embryonic/larval visceral muscle,FBbt:00001035,1.08% (1/93),0.15% (18/11801),0.138654497,1,1
embryonic/larval Malpighian tubule,FBbt:00001896,0.0% (0/93),0.04% (5/11801),1,1,1
embryonic/larval fat body,FBbt:00001704,0.0% (0/93),0.05% (6/11801),1,1,1
embryonic/larval spiracular branch,FBbt:00000303,1.08% (1/93),0.0% (0/11801),0.007819068,1,1
embryonic/larval lateral group branch,FBbt:00000351,0.0% (0/93),0.04% (5/11801),1,1,1
embryonic/larval ganglionic branch,FBbt:00000325,1.08% (1/93),0.03% (4/11801),0.038495098,1,1
embryonic/larval ventral anastomosis,FBbt:00000336,0.0% (0/93),0.01% (1/11801),1,1,1
cephalic branch,FBbt:00000397,0.0% (0/93),0.02% (2/11801),1,1,1
